GRAND_ID,DAM_HGT_M,AREA_SKM,DEPTH_M,DIS_AVG_LS,DOR_PC,ELEV_MASL,CATCH_SKM,GDP_capita,Population,run_mm_syr,inu_pc_umn,sgr_dk_sav,clz_cl_smj,ari_ix_sav,ari_ix_uav,glc_cl_smj,pnv_cl_smj,for_pc_use,crp_pc_use,pst_pc_use,ire_pc_use,gla_pc_use,prm_pc_use,pac_pc_use,fmh_cl_smj,swc_pc_uyr,lit_cl_smj,ero_kh_uav,pop_ct_usu,ppd_pk_uav,urb_pc_use,hft_ix_u09,hdi_ix_sav
2818,32.0,0.48,22.9,32266,1.1,365,16176,34272.36038,46647000,63,4,101.0,11,42,42,16,11.0,18,44,6,9,0,0,6,7,39,6,1506,850.6510000000001,39.632,2,107,866
2851,49.0,1.66,21.6,3873,29.3,419,2701,34272.36038,46647000,45,5,142.0,11,35,35,16,11.0,12,42,10,12,0,0,10,7,33,6,2212,1454.8229999999999,87.755,5,130,861
2856,47.0,1.18,18.3,989,69.3,337,843,34272.36038,46647000,45,5,142.0,11,35,35,16,11.0,12,42,10,12,0,0,10,7,33,6,2212,1454.8229999999999,87.755,5,130,861
2857,96.0,244.0,17.0,144373,91.1,79,55045,27936.89609,10289000,140,4,55.0,12,46,41,16,11.0,14,52,15,10,0,0,5,7,39,3,1023,1470.8970000000002,26.748,1,112,842
2868,89.0,10.12,46.9,11058,136.2,325,2890,34272.36038,46647000,86,2,123.0,11,38,38,16,11.0,21,40,7,10,0,0,10,7,35,5,1606,126.816,24.394000000000002,0,107,857
2875,60.0,5.72,22.6,3402,120.2,308,405,34272.36038,46647000,139,7,60.0,12,48,46,16,11.0,18,52,10,12,0,0,18,7,44,1,3007,4412.159000000001,78.69,3,126,853
2886,73.0,4.79,28.1,1247,342.3,245,467,34272.36038,46647000,139,7,60.0,12,48,46,16,11.0,18,52,10,12,0,0,18,7,44,1,3007,4412.159000000001,78.69,3,126,853
2920,52.0,10.1,21.3,7474,91.4,110,1353,34272.36038,46647000,202,61,79.0,12,68,81,16,11.0,38,11,18,2,0,0,56,7,65,5,2017,8.716000000000001,76.032,0,153,854
3025,30.0,26.18,8.5,12942,54.6,367,271,1998.92572,12068000,1192,1,142.0,18,129,129,12,1.0,29,4,14,0,0,0,3,8,63,8,12254,1116.152,66.676,3,77,414
3026,20.0,0.68,20.6,44456,1.0,243,827,1998.92572,12068000,1192,1,142.0,18,129,129,12,1.0,29,4,14,0,0,0,3,8,63,8,12254,1116.152,66.676,3,77,414
3043,19.0,28.99,7.9,882477,0.8,11,20161,752.7878394999999,4702000,1341,2,47.0,18,123,123,17,1.0,27,3,1,0,0,0,6,8,77,8,3019,1063.98,52.516000000000005,1,54,421
3045,34.0,29.67,20.9,468031,4.2,113,59729,3601.005901,24437000,237,3,26.0,18,76,68,17,1.0,48,30,42,1,0,0,16,8,57,8,3516,2931.123,48.556999999999995,1,83,474
3048,35.0,0.73,9.5,112101,0.2,77,8957,3601.005901,24437000,401,5,30.0,18,97,97,17,1.0,21,14,1,0,0,0,30,8,76,8,6548,2238.917,80.05199999999999,3,88,555
3058,26.0,30.65,13.1,9403,134.9,652,326,46949.28309,9905000,569,10,130.0,6,162,161,4,6.0,75,0,0,0,0,6,25,11,92,8,373,56.667,2.128,0,30,907
3059,70.0,7.48,21.1,3996,125.4,502,88,64800.057329999996,5296000,1564,80,412.0,5,441,325,4,6.0,88,0,0,0,0,0,3,11,99,8,1420,6.695,14.710999999999999,1,95,942
3061,27.0,16.5,15.1,14191,55.6,496,500,46949.28309,9905000,517,7,113.0,7,142,141,4,6.0,84,0,0,0,0,1,9,11,91,9,125,8.029,0.992,0,26,902
3068,18.0,102.34,11.5,38132,98.1,419,1354,46949.28309,9905000,568,10,125.0,7,162,161,4,6.0,71,0,0,0,0,1,15,11,93,8,285,102.348,4.199,0,47,904
3073,45.0,65.51,9.5,16719,118.5,723,667,64800.057329999996,5296000,1117,72,241.0,6,233,193,4,6.0,65,0,0,1,0,0,4,11,94,8,292,60.18899999999999,568.4630000000001,36,277,948
3074,76.0,6.73,26.7,10613,53.8,460,312,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3076,23.0,17.77,10.4,5018,116.9,828,248,64800.057329999996,5296000,1117,72,241.0,6,233,193,4,6.0,65,0,0,1,0,0,4,11,94,8,292,60.18899999999999,568.4630000000001,36,277,948
3077,53.0,6.47,22.3,5335,85.6,648,212,64800.057329999996,5296000,738,2,307.0,6,213,213,14,8.0,41,0,0,0,0,6,33,11,97,8,1392,24.838,4.994,0,52,943
3083,28.0,35.48,14.1,16971,93.4,541,1304,46949.28309,9905000,288,4,96.0,7,130,130,4,6.0,87,0,0,0,0,0,11,11,91,9,66,62.647,3.2489999999999997,0,45,897
3084,40.0,36.29,15.5,10772,165.1,833,481,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3085,90.0,1.3,53.8,4027,55.1,441,113,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3086,44.0,63.59,3.7,81738,9.2,356,8357,46949.28309,9905000,288,4,96.0,7,130,130,4,6.0,87,0,0,0,0,0,11,11,91,9,66,62.647,3.2489999999999997,0,45,897
3091,122.0,36.19,24.3,54930,50.8,432,4538,46949.28309,9905000,362,7,88.0,7,125,125,4,6.0,83,0,0,0,0,0,11,11,90,7,52,248.269,9.176,0,62,895
3092,81.0,8.41,23.4,7476,83.6,696,542,64800.057329999996,5296000,581,9,295.0,6,166,166,4,6.0,68,3,0,1,0,1,11,11,93,8,760,189.30599999999998,11.475999999999999,1,73,931
3093,44.0,1.34,31.0,2333,56.4,465,29,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3094,77.0,3.43,23.0,1384,180.5,1049,26,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3098,18.0,1.36,24.8,3276,32.6,485,39,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3103,34.0,2.83,22.8,6239,32.7,858,91,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3105,24.0,1.3,16.8,7188,9.7,513,82,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3106,30.0,16.3,12.6,3989,163.0,1105,182,64800.057329999996,5296000,581,9,295.0,6,166,166,4,6.0,68,3,0,1,0,1,11,11,93,8,760,189.30599999999998,11.475999999999999,1,73,931
3110,40.0,23.63,26.2,7491,262.4,1057,274,64800.057329999996,5296000,581,9,295.0,6,166,166,4,6.0,68,3,0,1,0,1,11,11,93,8,760,189.30599999999998,11.475999999999999,1,73,931
3116,81.0,10.34,41.3,7211,187.8,890,217,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3118,37.0,25.17,14.0,41523,26.9,731,2102,64800.057329999996,5296000,633,95,185.0,7,194,138,4,6.0,69,12,1,1,0,0,7,11,90,8,205,13.622,123.46700000000001,6,284,936
3122,34.0,6.97,29.0,17306,37.0,427,323,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3127,34.0,1.59,16.0,1847,43.6,865,25,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3132,32.0,0.97,23.1,12534,5.7,379,148,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3137,42.0,7.54,20.5,6760,72.4,897,174,64800.057329999996,5296000,717,14,243.0,5,240,240,4,6.0,61,1,0,0,0,0,20,11,96,8,1088,110.098,10.367,1,59,936
3141,20.0,1.77,11.3,2414,26.3,1008,40,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3143,18.0,1.6,13.8,3845,18.1,827,63,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3144,55.0,3.19,34.5,2034,171.8,857,54,64800.057329999996,5296000,717,14,243.0,5,240,240,4,6.0,61,1,0,0,0,0,20,11,96,8,1088,110.098,10.367,1,59,936
3145,19.0,2.54,10.1,2225,36.6,893,43,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3146,72.0,3.05,28.5,7560,36.5,489,111,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3147,25.0,0.76,14.5,3136,11.1,723,59,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3152,27.0,8.76,24.3,601,1121.2,639,30,64800.057329999996,5296000,717,14,243.0,5,240,240,4,6.0,61,1,0,0,0,0,20,11,96,8,1088,110.098,10.367,1,59,936
3157,120.0,14.45,76.1,10520,331.6,817,243,64800.057329999996,5296000,1220,22,312.0,5,372,371,4,6.0,55,0,0,0,0,0,26,11,100,8,2422,31.66,8.498,0,49,943
3161,32.0,7.82,30.2,18363,40.8,533,396,64800.057329999996,5296000,1220,22,312.0,5,372,371,4,6.0,55,0,0,0,0,0,26,11,100,8,2422,31.66,8.498,0,49,943
3165,22.0,3.25,9.2,9030,10.5,729,152,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3166,25.0,10.39,20.9,2107,326.6,503,90,64800.057329999996,5296000,841,16,208.0,5,243,243,4,6.0,81,1,0,0,0,0,3,11,98,8,726,38.104,10.032,1,54,938
3168,37.0,12.77,21.5,3315,263.1,666,56,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3170,31.0,3.47,16.3,832,215.3,944,14,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3179,46.0,8.02,17.7,8983,50.1,501,228,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
3180,50.0,15.87,17.3,28751,30.2,706,629,64800.057329999996,5296000,1701,99,601.0,5,442,284,4,6.0,87,2,0,0,0,0,44,11,98,8,97,16.819000000000003,217.639,15,242,952
